"ISBN","TITLE_JP","TITLE_ROMA","AUTHOR","AUTHOR_ROMA","DATE","LINK_PUBLISHER","COMMENT","PRICE","PAGE","EH","UPLOADER","SOURCE","QUALITY"
"978-4-86349-632-3",淫行リキッド,Inkou Liquid,えすお,Esuo,"2017-5-27",http://www.akaneshinsha.co.jp/item/9760/,"貴方の隠したその白濁、抜き射ち検査開始♥

精液、愛液、汗、唾液。デビューから鍛え、磨き、積み重ねたありとあらゆる汁描写を携えて、淫汁作家の初単行本、今ここに結実！！

収録作品：
「風紀委員のたかねさん」
「圓ちゃん　ＯＮ　ＡＩＲ！」
「僕のビッチ先輩」
「いとこと。」
「ゆうだち」
「すえぜん♡れっすん！」
「ＳＥＸ　おーばーたいむ」
「おばさん少女」
「母娘相続～おばさん少女２～」",1000,"208",https://exhentai.org/g/1082050/61c2642d7e/,glvdtr,FANZA,"2880px"
"978-4-86349-638-5",思春期まるだしっ！,Shishunki Marudashi!,ぐりえるも,Guglielmo,"2017-6-28",http://www.akaneshinsha.co.jp/item/9928/,"処女の恥じらい、乱れ咲き♥

幾多の視線に囲まれて、高まるばかりの羞恥心…♥

「見られる」ことで恥じらい、感じる女の子達の姿に、どうしようもなく昂ぶっていく思春期の1ページがここに。COMIC高きっての個性派作家、処女単行本がついに登場!!

【収録作品】

「後夜祭でイこう!」
「こんな村いやだっ!」
「ようこそパイセン～AV女優の課外授業～」
「ガマンできないッ!」
「ハッピーバースデートゥーユー!」
「今日イク!?実習生」
「没収します!」
「バツを覚悟の真剣恋愛!」
「もっと見ていて」",1111,"240",https://exhentai.org/g/1107628/5c6a82de1a/,salar,SCAN,"3000px"
"978-4-86349-637-8",制服のまま愛しなさいっ,Seifuku no Mama Aishinasai! - Love in school uniform,坂上海,Sakagami Umi,"2017-6-28",http://www.akaneshinsha.co.jp/item/9925/,"僕の彼女は、
見た目より『ちょっぴり』エッチです。

 

「美少女」というジャンルの到達点はＪＫだからこそ実現できた！
コミック高期待の新人、坂上海の初単行本！

 

収録作品:
「スィートフォン！」
「僕は妹に弱みを握られている」
「結理ちゃん揺るがない！」
「プリンセスof the ブラッド」
「ギャルフレ」
「あなたでなければ いやなんです。」
「フレンチキス」
「かずさScramble！」
「ブレザーぱらどっくす！」
「Re:制服のまま愛しなさいっ」",1000,"196/2",https://exhentai.org/g/1093632/243b44d3e6/,Ero-Sennin,SCAN,"3000px"
"978-4-86349-647-7",牝高生,Mesu Kousei,むねしろ,Muneshiro,"2017-7-28",http://www.akaneshinsha.co.jp/item/9959/,"子宮口開けて
お待ちしてます♥

 

ＪＫ専門誌コミック高のガチエロ発情派新人むねしろ贈る初単行本！
１ページ目からラストまで余すとこなく発情ＪＫがセックス!セックス!!セックス!!!

 

収録作品:
「スパイク！スパンク！！スパンキング！！！」
「危ないスニーキングセックス！」
「寒がり女子は、よく「かん」違いされる」
「ドラッグ&ドロップ」
「彼女は淫らな読書女子」
「i’m lovin’ it」
「放課後JK肉棒Life」
「メガネっ娘への援助の仕方を真剣に考えてみた」
描き下ろし
「牝高生のパイズリ動画配信」",1000,"180/4",https://exhentai.org/g/1104840/38897ce8bb/,salar,SCAN,"3000px"
"978-4-86349-659-0",おじさんといっしょ♥,Oji-san to Issho,成田コウ,Narita Koh,"2017-9-28",http://www.akaneshinsha.co.jp/item/10499/,"生ハメ？ おっけー☆

援交おじさんとゆるビッチＪＫが生パコフェス開催inラブホ！
１回３万円で妊娠ガチャをマワしまくれ
ＪＫ専門誌コミック高レーベル著者初作品集♡

収録作品:
「サポートJKとお突き合い♥」
「決め打ち♥おとなりさん」
「既読無視」
「素股イン♥プレー」
「人前ではお行儀よく」
「逆転カースト」
「おくちスイッチ」
「ボクのワガママお嬢様」
「放課後の幼馴染」",1000,"192",https://exhentai.org/g/1135053/77eb8dc3bd/,hXYZh,DLSITE,"1500px"
"978-4-86349-673-6",小悪魔カノジョのセックス事情。,Koakuma Kanojo no Sex Jijou.,SAKULA,SAKULA,"2017-11-28",http://www.akaneshinsha.co.jp/item/10758/,"セックスするならＪＫがいちばん！

えっちすぎるカラダに自信満々のＪＫ彼女が、
自分からチ○ポ欲しがるようになるまで
徹底的にラブラブハメハメしちゃいます♡
COMIC高最新鋭作家の処女単行本！

収録作品:
『はに～とらっぷ』
『モーニングコール？』
『直撃！ハイキック！！』
『お見合い大作戦！』
『禁欲オタクと欲求エンジェルズ』
『向原さんはちょっと抜けている。』
『私に任せろ！！』
『わがまま彼女』",1000,"190",https://exhentai.org/g/1160514/ac71c75f88/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-678-1",彼女のスキマは僕のカタチ,Kanojo no Sukima wa Boku no Katachi - Her gap is my shape,七保志天十,Nanahoshi Tento,"2017-12-26",http://www.akaneshinsha.co.jp/item/10920/,"「同じＨは二度とない！一期一会の超濃密快楽交尾♪」

ＪＫ、ビッチ、お嬢様、生徒会長、ギャル、ナースetc.
タイプは違っても、一番気持ちよくなれる相手との出会いを求めて恋する乙女心（？）は変わらない♪
緻密な線で描き出す恋とエロスの物語を9本+描きおろし短編2本収録♪

収録作：
「金色のけもの」
「幼なじみはクソビッチ！」
「コンプレックスハニー」
「Ride on me!」
「隣のみだらさん」
「双丘の青い果実」
「撫子は夜に咲く」
「搾って！琴里会長ッ！」
「深窓の痴嬢」",1000,"208",https://exhentai.org/g/1175399/d4c57ed112/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-679-8",ワケあり乱高♪孕峰ックス！,Wakeari Rankou Haraminex!,蒼惑う子,Aomadoushi,"2017-12-26",http://www.akaneshinsha.co.jp/item/10924/,"セックス学園のヒミツ、お見せしちゃいます…♥

セックス狂いのＪＫしかいない
スクール・オブ・ファックを舞台に
コンドー無用のナマ一本勝負！

右も左もハメ頃ボディ♥
天性ビッチも純情幼馴染も
みんな誰かのチ○ポに夢中♪

224Pひたすらハメまくる待望の初単行本！

収録作品:
『ご褒美タイム！』
『淫臭チアガール！』
『続・ご褒美タイム！』
『お貢マネージャー！』
『新聞部の憂欝！』
『ご贔屓モデル！』
『放課後ラブホけんしつ！』
『色情旧校舎』
『夏祭り！』",1065,"224",https://exhentai.org/g/1175367/627e207b55/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-690-3",女子肛性,Joshi Kousei - schoolgirl anal sex,バクシーシAT,Bakushishi AT,"2018-2-28",http://www.akaneshinsha.co.jp/item/11163/,"風紀委員長の小生意気なケツが
中も外も真っ赤に染まるまで
愛情たっぷり♡いじめました。

全8作品＋描き下ろしJK専門レーベル著者初単行本!!!!

収録作品:
『特別指導』
『別室指導』
『性感スプレー』
『ネットアイドル マリンたん』
『TITSUでSENずり四十前』
『Sacrifice fly』
『ちんちん電車』
『どすこい先輩』
＋描き下ろし",1000,"214/2",https://exhentai.org/g/1208048/ca751845c4/,Dynellen,SCAN,"3000px"
"978-4-86349-689-7",姦しびより。,Kashimashi Biyori.,あかゐろ,Akairo,"2018-2-28",http://www.akaneshinsha.co.jp/item/11160/,"二人きりのセックスより、もっと熱く、もっと淫らに…♡

尽き果てぬ情欲がJK達のカラダを白く、雌へと染め上げる。
チ〇コもマ〇コも、多い方が気持ちイイ…!!

JK×乱交ならおまかせ♡COMIC高レーベル著者初単行本♪

収録作品:
『ぼっちじゃなくなる〇〇な方法』
『交姦しました』
『上流階級デビュー』
『ふたごくらべ』
『保体のお時間』
『お賽銭はこちらです』
『となりのサンタ』
『るいとも』",1000,"176",https://exhentai.org/g/1203766/3f68f603c7/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-698-9",非実在性少女,Hijitsuzaisei Shoujo - Nonexistent girl,つりがねそう,Turiganesou,"2018-3-28",http://www.akaneshinsha.co.jp/item/11251/,"現実よりもリアル。

かつて体験したはずの
学校生活よりも生々しく、
かつて体験したことがないほど
甘い恋心と、とろけるセックス。
至高の画力でお楽しみ下さい。

ＪＫ専門誌「コミック高」
掲載作品を完全収録した
著者初単行本。

収録作品:

『花ちゃん奮闘記』
『初めての…』
『文香さんの欲しいモノ』
『ごめんね！山田くん』
『お願いしますっ肉子ちゃん』
『三浦君は静かに過ごしたい』
『ルスバンデンワ』
『鈍交』",1000,"176",https://exhentai.org/g/1217507/fc268b3cf5/,salar,SCAN,"3000px"
"978-4-86349-697-2",サカれ性春!!裸外活動,Sakare Seishun!! Ragai Katsudou,四電ヒロ,Shiden Hiro,"2018-3-28",http://www.akaneshinsha.co.jp/item/11249/,"これは、セックスに青春を捧げた
ＪＫ達の物語である。

校舎で、自室で、ホテルで、野外で。
学生生活最高の快楽を得るため
全身全霊ヤりまくっちゃいます▽

描き下ろし
エピソード収録
著者初単行本！

『PeakingMethod』
『絶頂遊戯』
『絶頂遊戯２』
『セーラー服を脱がさないで？』
『ホットナイト サマーギャング』
『inframe』
『outframe』
『サブカルショック』
『Baby Heavy Howling!』
＋描き下ろしまんが",1000,"194/2",https://exhentai.org/g/1217020/b25effa052/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-696-5",放課後ハメ活日誌,Houkago Hamekatsu Diary - After school Hamekatsu Diary,石鎚ぎんこ,Ishizuchi Ginko,"2018-3-28",http://www.akaneshinsha.co.jp/item/11247/,"あは…♥つかまっちゃいました…♥

えっちすぎるＪＫの相談事はなんと「セックスの練習」!?!?
毎日放課後ホテルに呼び出されては、濃厚なキス、フェラと
過激になっていくエッチなおねだりに付き合わされ…♥

描き下ろし美麗イラスト収録!!!!!!!

『おじさんレンタ』
『おじさんレンタ case.秋山あかり』
『姉線 -まなざし-』
『ドンくさい私が志望大へ推薦してもらうために、』
『ルーモアギャル→野本さん』
『若宮さんとブタ』
『貧乳(ひんちち)彼女とガッツキ彼氏』
『放課後のマスターマインド』",1000,"196/4",https://exhentai.org/g/1216928/3a6fc7201e/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-701-6",フォトグラフ,Photograph,佐骨,Zakotsu,"2018-4-28",http://www.akaneshinsha.co.jp/item/11327/,"「ほんとに、その辺にいそうな女の子たち」の
誰にも見せたことがない、正真正銘の初体験。

朝ご飯を食べ、学校へ行き、
勉強して、セックスして。

『smells like…』
『中空階段』
『Gimme Love!』
『愛は盲目』
『いもうと』
『みつめていたい』
『続・みつめていたい』
『まつりワッショイ！』",1000,"178",https://exhentai.org/g/1230992/541e8973bd/,Magikarp_Guy,DLSITE,"1500px"
"978-4-86349-700-9",ドルハメ -アイドル奴隷のしつけかた-,Dolhame -Idol Dorei no Shitsukekata-,成宮亨,Narumiya Akira,"2018-4-28",http://www.akaneshinsha.co.jp/item/11324/,"期待のＪＫアイドルグループが
社長のチ●ポ狂いになるまで
徹底的に恐喝・調教・開発・絶頂!!!!

濃すぎる個性がバクハツする著者初単行本!!

『Fallen Idol』
『Fallen Idol ～Yukari side～』
『Fallen Idol ～Yui side～』
『ネトラセ彼女』
『Fallen Idol ～Akane side～』
『Fallen Idol ～prologue～ ＜描き下ろし＞』
『プライベートビッチ』
『新田さん止まらない！』
『おねだりJKサポート』
『Fallen Idol ～Epilogue～』",1000,"196/2",https://exhentai.org/g/1643631/c4d7fa5570/,icesoul,DLSITE,"1500px"
"978-4-86349-708-5",校内売春,Kounai Baishun - In school prostitution,inono,inono,"2018-5-28",http://www.akaneshinsha.co.jp/item/11537/,"神聖な校舎で起きたＪＫ達の
赤裸々な売春・セックス事情

家計を支えるため、
同級生相手に春を売る少女Ｋ。

ムショ帰りの兄貴に命令され
部員に輪姦されたＭ。

親に別居させられても
近親相姦を止められない姉。

性交適齢のムッチリボディが
スケベすぎる1st単行本!!!

【収録作品】

『放課後・堕ちた天使 前編』
『放課後・堕ちた天使 後編』
『女子高教師』
『JK痴漢電車』
『ボクたちの失敗』
『うさぎは発情期』
『姉色恋模様』",1000,"176",https://exhentai.org/g/1345464/5d65784292/,James.M,DLSITE,"1500px"
"978-4-86349-707-8",想思想愛,Soushisouai,おろねこ,Oroneko,"2018-5-28",http://www.akaneshinsha.co.jp/item/11534/,"Ｑ．かたちに見えないものだから、二人が何度も
　　言葉で、身体で確かめ合うもの、なーんだ？

Ａ．愛。エロ漫画は、愛。

何度も読み返しては身悶える、高純度いちゃラブ
エロ８作品をほぼ全ページ加筆修正し完全収録!!!

【収録作品】

『コンプレックス・コスプレックス　描き下ろし』
『キミと とろける水遊び』
『ぎりぎり ナマ♥放送』
『すんどめ ナマ♥実況』
『言わせないでっ⇔やっぱり言いたいっ♥』
『コンプレックス・コスプレックス』
『xxx』
『おめざえっち』
『汗だくはにー♥』
『さらしな恋心』",1065,"200/8",https://exhentai.org/g/1530936/01d0aa9025/,wangweidive,DLSITE,"1500px"
