"ID","ISBN","CATEGORY","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL"
579,"9784863496941",TENMACOMICS LO,華奢な娘の挿入心地は…熱ッ！,高岡基文,"2018-3-28","ロリは細くなければイカン！という【その筋の方】に絶賛される高岡基文ロリ漫画レーベル初単行本！（タイトルは「きゃしゃなこのいれごこちは…あつッ！」と読みます。）
身体とか乳房とかは小さいのに、いろんなところがちゃんと女の子!これが求められるロリ漫画の基本です。高岡基文の描くこの細い肩を見て興奮するあなたとは友達になれる気がする！
無色の色気代表・ボーイッシュロリから、精液大好き・ロリビッチ、さらには乳だけ無防備発育ロリ巨乳までスレンダーなロリっ娘を多数収録。「やっぱりロリは細くても抱き心地は柔らかくて、挿入すると身体震わせながらも快楽を受け入れちゃうのが良いよね」というあなたと趣味を同じくする作家・高岡基文がＬＯから放つマジ物のロリ単行本です！
（作者の趣味により褐色&日焼け少女多めに付きご注意ください。（ご注意くださいの部分に傍線を引き）＼(＾o＾)／ヤッター!!）
収録作品：【】内は内容/傾向です
「えんたーろりーた」
…【聡明美少女を性的開発】
「ふりっぷとりっく」
…【褐色ボーイッシュ】
「おとななので」
…【ロリ巨乳にばぶ味】
「かんさつにっき」
…【日焼け姪と夏の思い出】
「ふれあい教室」
…【性処理眼鏡委員長】
「せうと！」
…【JC直前セーラー服】
「なちゅらるぼーん」
…【褐色ロリビッチ】
「にんじんキライ！」
…【おかっぱ吊りスカートJS】
「うそつきっこ」
…【実妹に性的おまじない】
「あとがき」
高岡基文","1000",http://www.akaneshinsha.co.jp/item/itemreco/11242/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/79cb761b93e2a10c391adb6cbaf8a787.jpg
580,"9784863496958",TENMACOMICS LO,おんなのこ解禁,上田裕,"2018-3-28","初ブラ2歩手前の微かなふくらみ…
これが至高のロリおっぱい!!
滑らかな腹部。しなやかに細い腰。引き締まった四肢。無毛の秘丘。
こだわりの上田流ロリボディを見よ！
◆上田裕ロリ漫画のオススメポイント◆
●女の子がめっちゃ可愛い。見ての通り。
●なにげに近親モノが結構多い（本書は兄妹4父娘1）。
●中出しも多い（ほぼ全部）。
●バッドエンドなし。
【収録作品】
◆中出し大好き
*カラー*JS*兄妹*中出し
◆公民館の読書室
*JS*メガネっ娘*スマタ*中出し
◆まずはお話だけ
*JC*制服*援交*中出し
◆最後のおままごと
*JS*兄妹*ツインテール*中出し
◆二人の先生
*JS*3P*診察プレイ*中出し
◆パパとママの寝室
*JS*おかっぱ*中出し
◆おうちキャンプ
*JS*兄妹*ポニテ*声ガマン*中出し
◆カミナリこわい
*JS*濡れ透け*玄関→寝室*中出し
◆父の日の白紙券
*JS*父娘*パジャマ*中出し
◆しかえし
*JS*JC*姉妹丼*中出し
◆野良の恩返し
*JS*おねだり*中出し
◆第1回およめさんテスト
*JS*押しかけ幼妻*中出し
◆貧乏兄妹
*JS*兄妹*ジャージ*中出し
上田裕","1065",http://www.akaneshinsha.co.jp/item/itemreco/11245/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/978-4-86349-695-8.jpg
581,"9784863497030",TENMACOMICS EX,近親肉欲交尾したがる完熟母,セニョール大悦,"2018-4-28","爆乳＆爆尻豊満熟女が誘う禁断の近親姦エロス満載！！
セニョール大悦初単行本
●抵当貴婦人肉玩具
●巨尻女上司の逆セクハラ研修
●熟母未亡人いけない親子
●愛人リストラ撮影会
●壊れてイクお姉さん
●ママの膣に帰る日
●逆セクハラ巨尻課長の淫唇
●巨尻女警備員の淫力研修
●爆乳女教師の倒錯指導
●美熟講師の合格の秘穴
●スキンにこだわる中出し超熟母
●露天でつながる超熟母子交尾旅","1296",http://www.akaneshinsha.co.jp/item/11332/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/04/978-4-86349-703-0.jpg
582,"9784863496996",TENMACOMICS LO,思春期のはじめてックス♡,猫男爵,"2018-4-28","ロリコンの理想世界がここにある！完全僕ら側視点な作家・猫男爵の超ド直球な初単行本「思春期（わたし）のはじめてックス♡」！
中途半端な鬱感なし！ひたすらに少女とロリコンが幸せになる漫画ばかり！そう、漫画の中でならロリコンはいくらでも幸せになっていいんだ！さらに幸せ分大盛り追加の書き下ろしもあり!!
特に全ロリコンの憧れ“鼓笛隊のバトン少女”が手コキお礼してくれる快作「頑張るキミが好き！」の斜め上をいく破壊力を知れば、この本の幸せ度も理解できるはず。これくらい幸せに溢れたロリ漫画本はめったにありません。買おう！そして幸せになろう！！
収録作品：【】内は内容/傾向です
「桃香の性徴記」
…【成長をＨに見守りながらの初SEX】
「頑張るキミが好き！」
…【バトンJSによる超謝恩会】
「ひぷのしすたー」
…【発育満点妹と催眠プレイ】
「瑠璃色なつやすみ」
…【親戚の都会っ娘と開放青淫】
「君は小さな僕の小悪魔」
…【淫魔JSによる搾精セックス】
「リモート・シスターズ」
…【美少女双子JCと夢の３P】
「産めよ！殖やせよ！」
…【ちびっこ同士での子作り初Ｈ】
「産めよ！殖やせよ！2-水樹蛍編-」
…【JCのリアル身体を観察＆愛情SEX】
「産めよ！殖やせよ！3-長見ヒナ編-」
…【褐色ハーフ娘とラヴ子作り】
「描き下ろし・はじめてックスあふたー」
…【最後の最後まで幸せSEX】
「あとがき」 
猫男爵","1200",http://www.akaneshinsha.co.jp/item/itemreco/11321/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/04/cover-sample270pix.jpg
583,"9784863497023",TENMACOMICS JC,『気持ち良くなっちゃう♡』ってどういうこと？,虎向ひゅうら,"2018-4-28","あなたに教えて、欲しいの。
淡いモヤモヤ、ドキドキな想い。
期待と不安で胸いっぱいの、
少女とイケナイコトしちゃいます…♡

キュートなキャラクターでお馴染み、
虎向ひゅうら久々の単行本です！
【収録作品一覧】
『ほんのり桜色』
『やわプチ』
『水曜日OnAir』
『ずっと…もっと！』
『君だから』
『君だけに』
『夏祭』
『みんなにはナイショだよ♡』
『いせいどうせい☆』
『僕が知らない彼女のこと』
『らいふたいむ♡』
『夜明けまで一緒♡』
『Puppy♡Puppy』
『思春期だもの』
JCレーベル第19弾
虎向ひゅうら","1296",http://www.akaneshinsha.co.jp/item/11329/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/04/978-4-86349-702-3.jpg
584,"9784863497016",TENMACOMICS 高,フォトグラフ,佐骨,"2018-4-28","「ほんとに、その辺にいそうな女の子たち」の
誰にも見せたことがない、正真正銘の初体験。
朝ご飯を食べ、学校へ行き、
勉強して、セックスして。
『smells like…』
『中空階段』
『Gimme Love!』
『愛は盲目』
『いもうと』
『みつめていたい』
『続・みつめていたい』
『まつりワッショイ！』
佐骨","1000",http://www.akaneshinsha.co.jp/item/11327/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/04/978-4-86349-701-6.jpg
585,"9784863497009",TENMACOMICS 高,ドルハメ　-アイドル奴隷のしつけかた-,成宮亨,"2018-4-28","期待のＪＫアイドルグループが
社長のチ●ポ狂いになるまで
徹底的に恐喝・調教・開発・絶頂!!!!
濃すぎる個性がバクハツする著者初単行本!!
『Fallen Idol』
『Fallen Idol ～Yukari side～』
『Fallen Idol ～Yui side～』
『ネトラセ彼女』
『Fallen Idol ～Akane side～』
『Fallen Idol ～prologue～ ＜描き下ろし＞』
『プライベートビッチ』
『新田さん止まらない！』
『おねだりJKサポート』
『Fallen Idol ～Epilogue～』
成宮亨","1000",http://www.akaneshinsha.co.jp/item/11324/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/04/978-4-86349-700-9.jpg
586,"9784863497054",TENMACOMICS 好色少年,君のも挿れて？ボクのもあげる♡,ベンジャミン,"2018-5-28","友情⇔愛情。

ボクだけじゃなくて…
君も一緒に気持ちよくなろうよ…？
美麗少年が秘めた思いを果たし
さらなる快楽はお互いの境界を失くす…♡
妖しい魅力満載の一冊です
【収録作品一覧】
『君の寝顔が可愛くて 前編』
『君の寝顔が可愛くて 後編』
『入るよ』
『好みになって』
『フリのフリ』
『練習の成果』
『すべては君のため』
『攻めて攻められ』
『やっぱり あの子がほしい』
『２→１の淫話』
好色少年レーベル第８弾
ベンジャミン","1296",http://www.akaneshinsha.co.jp/item/11528/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/05/978-4-86349-705-4.jpg
587,"9784863497085",TENMACOMICS 高,校内売春,inono,"2018-5-28","神聖な校舎で起きたＪＫ達の
赤裸々な売春・セックス事情
家計を支えるため、
同級生相手に春を売る少女Ｋ。
ムショ帰りの兄貴に命令され
部員に輪姦されたＭ。
親に別居させられても
近親相姦を止められない姉。
性交適齢のムッチリボディが
スケベすぎる1st単行本!!!
【収録作品】
『放課後・堕ちた天使 前編』
『放課後・堕ちた天使 後編』
『女子高教師』
『JK痴漢電車』
『ボクたちの失敗』
『うさぎは発情期』
『姉色恋模様』
inono","1000",http://www.akaneshinsha.co.jp/item/11537/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/05/978-4-86349-708-5.jpg
588,"9784863497078",TENMACOMICS 高,想思想愛,おろねこ,"2018-5-28","Ｑ．かたちに見えないものだから、二人が何度も
　　言葉で、身体で確かめ合うもの、なーんだ？
Ａ．愛。エロ漫画は、愛。
何度も読み返しては身悶える、高純度いちゃラブ
エロ８作品をほぼ全ページ加筆修正し完全収録!!!
【収録作品】
『コンプレックス・コスプレックス　描き下ろし』
『キミと とろける水遊び』
『ぎりぎり ナマ♥放送』
『すんどめ ナマ♥実況』
『言わせないでっ⇔やっぱり言いたいっ♥』
『コンプレックス・コスプレックス』
『xxx』
『おめざえっち』
『汗だくはにー♥』
『さらしな恋心』
おろねこ","1065",http://www.akaneshinsha.co.jp/item/11534/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/05/978-4-86349-707-8.jpg
