"ID","FD_ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_FD","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_FD","DL_LINK_JP","LINK_FD","LINK_DL","EH","UPLOADER","SOURCE","COMMENTS"
25,FDH-028,YES,あべもりおかの…（仮）Ex1,Abe Morioka no ...(Kari) Ex 1,安部盛岡的…（情色漫畫家生活日誌）Ex 1,ヒット出版社,あべもりおか,Abe Morioka,2018-03-20,2018-05-06,https://www.dlsite.com/books/work/=/product_id/BJ142340.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=252,https://www.dlsite.com/books/work/=/product_id/BJ270654.html,https://exhentai.org/g/1729424/d475e652bc/,"18comic",未來數位BW,截图
26,FDH-035,YES,あべもりおかの…（仮）Ex2,Abe Morioka no ...(Kari) Ex 2,安部盛岡的…（情色漫畫家生活日誌）Ex 2,ヒット出版社,あべもりおか,Abe Morioka,2019-04-02,2019-05-18,https://www.dlsite.com/books/work/=/product_id/BJ185569.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=297,https://www.dlsite.com/books/work/=/product_id/BJ270655.html,,,,
27,FDH-024,NO,裸体芸術部!!,Ratai Geijutsubu!!,裸體藝術社!!,ヒット出版社,けんじ,Kenji,2018-04-10,2020-10-03,https://www.dlsite.com/books/work/=/product_id/BJ142341.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=260,https://www.dlsite.com/books/work/=/product_id/BJ270656.html,https://exhentai.org/g/1496327/098c71bde7/,CrazyingZ,未來數位BW,截图
28,FDH-025,NO,今日からキミのドレイ,Kyou kara Kimi no Dorei,今天開始成為你的奴隸,ヒット出版社,あずきこ,Azukiko,2018-07-03,2018-03-31,https://www.dlsite.com/books/work/=/product_id/BJ151598.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=248,https://www.dlsite.com/books/work/=/product_id/BJ270657.html,,,,
29,FDH-026,NO,円光おじさん,Enkou Oji-san,円光歐吉桑,ヒット出版社,師走の翁,Shiwasu no Okina,2018-05-15,2018-04-23,https://www.dlsite.com/books/work/=/product_id/BJ148465.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=249,https://www.dlsite.com/books/work/=/product_id/BJ270658.html,https://exhentai.org/g/1299814/ffdea6cfbc/,狼1狼2,未來數位扫本,
30,FDH-027,NO,メイド学園へようこそ!!,Maid Gakuen e Youkoso!! - Welcome to Maid Academy,歡迎來到女僕學園!!,ヒット出版社,荒岸来歩,Alexi Laiho,2018-04-03,2018-05-06,https://www.dlsite.com/books/work/=/product_id/BJ142342.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=251,https://www.dlsite.com/books/work/=/product_id/BJ270659.html,https://exhentai.org/g/1537970/cb14e52a16/,shinefine,未來數位BW,截图，未分页
31,FDH-029,NO,JC'S TRIP,JC'S TRIP,JC'S TRIP,ヒット出版社,鈴木狂太郎,Suzuki Kyoutarou,2016-03-03,2018-07-27,https://www.dlsite.com/books/work/=/product_id/BJ075950.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=261,https://www.dlsite.com/books/work/=/product_id/BJ270660.html,https://exhentai.org/g/1884537/74077a1b72/,煉銅術士,未來數位DL/BW,
32,FDH-008,YES,メイドの×××はアナタのために,Maid no XXX wa Anata no Tame ni,女僕的XXX全奉獻給您,ヒット出版社,荒岸来歩,Alexi Laiho,2016-07-18,2015-11-13,https://www.dlsite.com/books/work/=/product_id/BJ087441.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=177,https://www.dlsite.com/books/work/=/product_id/BJ270661.html,,,,
33,FDH-031,NO,おとめぼれ,Otomebore,初戀乙女心,ヒット出版社,ひょころー,Hyocorou,2019-01-22,2018-12-21,https://www.dlsite.com/books/work/=/product_id/BJ177481.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=279,https://www.dlsite.com/books/work/=/product_id/BJ270662.html,https://exhentai.org/g/1723219/e8cff57689/,"18comic",未知,
34,FDH-032,NO,シェアハウスへようこそ,Share House e Youkoso,歡迎來到共享分租公寓,ヒット出版社,左橋レンヤ,Sabashi Renya,2019-02-19,2019-01-25,https://www.dlsite.com/books/work/=/product_id/BJ179352.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=283,https://www.dlsite.com/books/work/=/product_id/BJ270663.html,,,,
