"ISBN","FORMAT","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL","QUOTE","EH"
"9784860848699",A5,せっくすてぃーちゃー,子門竜士郎,"20120725",「えっちなことを教えろと強要されるせんせーです!」セックスはもちろん、3P、4P、アナルセックスに、おしっこプレイまで、Hなことならなんでも教えてくれる、せっくすてぃーちゃーのハーレム★すくーる開講!!!!巨乳っ娘、純情っ娘、性格それぞれな三姉妹、天然っ娘とかとか、「せんせー」を慕う美少女たちがい?っぱい♪,1028,https://comic.gotbb.jp/comics/separatevolume/sexteacher,https://comic.gotbb.jp/images/products/20160413_013259_Ll3RC.jpg,"",https://exhentai.org/g/571904/7a3d40f383/
"9784860848705",A5,RIN backstage ［限定版］,板場広し,"20120825",「膣出ししてくれたら、アイドルがんばれるもん?」喘ぐアイドル満載! 実力派・板場広しの「キャノプリcomic」での人気連載が単行本に!! 恋人・仲根に一途に発情する主人公・恵美や、性欲強すぎでSEX大好きになっちゃうアイドルたちの寝取り、乱交、公衆便所、盗撮、SEX営業、男の娘などなど……。アイドル乱れすぎ!!初回限定版には人気声優も参加した、淫声い?っぱいの特典ドラマCD付き☆,1543,https://comic.gotbb.jp/comics/separatevolume/rin-backstage,https://comic.gotbb.jp/images/products/20160413_013121_i6Wip.jpg,"",https://exhentai.org/g/763690/763616a269/
"9784860848712",A5,ぽちゃパイπ,長谷円,"20120825",ぽっちゃり系やわらか肉女のオンパレード♪童貞、ご近所の子供、娘の彼氏……。いろんな男たちが溺れる、極上肉のパラダイス? 年上ぽっちゃの系女子が、時にやさしく筆下ろし、時には暴走する性欲に襲われたりして、欲も汁も大ボリュームの牝ボディで受け止めます♪ 他にもフェチぃ、筋肉女や脇毛女などクセのある嗜好を取りそろえ!!,1028,https://comic.gotbb.jp/comics/separatevolume/potyapai,https://comic.gotbb.jp/images/products/20160413_012928_SPbvE.jpg,"",https://exhentai.org/g/586244/8f97342db9/
"9784860848743",A5,W嫁サンド,丸居まる,"20120921",「不健全な事って、お嫌いですか?」3Pだらけ!!!! お隣の美少女×2とか、美人店員×2とか、義姉×2とか、姉妹とか、女医+女助手とかとかとか!!!!やわらかくって、カワイイ女の子たちが、二人がかりで愛してくれる「3Pもの」がギュ?といっぱい!!!!さらに3P以外の作品では、人妻とか、女学生とか、幼なじみとか、義妹とか、ストーカーまで「愛してくれる」!?丸居まるのキャノプリcomic初単行本が、本誌掲載の作品に描き下ろしも加えて、大ボリューム238ページで、むぎゅっと発売!!!!,1028,https://comic.gotbb.jp/comics/separatevolume/wyomesando,https://comic.gotbb.jp/images/products/20160413_012731_11oPR.jpg,"",https://exhentai.org/g/558847/3a2f53ff4a/
"9784860848750",A5,ゆ～わくエブリディ,gemu555,"20121025",汁乳絵師・gemu555初単行本!!彼女より可愛い、「彼女の母」がブルマコスなんて…滾るっ!収録作「オレノヨメノハハガヨメ」始め、従姉妹、義理母、女部下、レズカップル、妻の友人、教え子の母、アクション・ヒロインまで、登場する美女と美少女が、み?んな巨乳で艶尻だらけ!!汁だくでヌルヌルで、やわらか?いカラダ満載?いろんなエッチくてラブい「愛」を思う存分、舐めまわせ!!!!,1028,https://comic.gotbb.jp/comics/separatevolume/yuwaku,https://comic.gotbb.jp/images/products/20160413_012521_pobR6.jpg,"",https://exhentai.org/g/558848/1d1add1787/
"9784860848767",A5,蜜月ハニー,カタセミナミ,"20121122",純情処女な姉と肉食系な妹の三角関係!?女子大生とレズっ娘も参戦でさらに濃厚ラブ展開!!?ヒロインたちが熱く深く求める蜜月ストーリー,1028,https://comic.gotbb.jp/comics/separatevolume/hanny,https://comic.gotbb.jp/images/products/20160413_012319_saV9u.jpg,"",https://exhentai.org/g/550256/53a71ce84a/
"9784860848781",A5,生徒会長 美月,中華なると,"20121222",制服姿の潔癖・女子校生が中年男の淫罠に悶え堕ちる! 全寮制の名門女子校の学生達を「特別授業」で淫乱性奴隷に調教してしまう学園長。彼が次の標的に選んだのは、大人びた色気をまとう前生徒会長の早瀬瑠璃子と、強気で正義感溢れる現生徒会長の岸森美月!! 学園トップクラスの美少女2人を堕として汚して乱れさせる!!中華なるとの濃厚・堕淫調教コミック最新作、淫らで気持ちいい授業開始♪,1028,https://comic.gotbb.jp/comics/separatevolume/mitsuki,https://comic.gotbb.jp/images/products/20160413_012138_Ykvrf.jpg,"",https://exhentai.org/g/620411/46e645d40b/
"9784860848798",A5,母が白衣を脱ぐとき3,横山ミチル,"20121222",横山ミチルの人気コミックシリーズ第3弾!!“男”が欲しい。“女”が欲しい。“地位”が欲しい。“恋”が欲しい。清濁の欲望が交わる病院で、看護師長・朝美と医師・南雲の関係に新たな乱入者がっ!! 地位と快楽を求める女医・佐藤が南雲に接近。だが、佐藤もやがて南雲の“男”に夢中になり…。同じ頃、朝美はオナニーに走るほど、自分の中で悶える“女”を持て余し、南雲への関心が再燃してしまう! 母として清廉であった朝美が、ドロドロの欲望に堕ちていく!!,1028,https://comic.gotbb.jp/comics/separatevolume/haha3,https://comic.gotbb.jp/images/products/20160413_011920_p88PC.jpg,"",https://exhentai.org/g/603382/c38429a9d3/
"9784860848804",A5,W・TAILS CAT 2,士郎正宗,"20130125",代表作「攻殻機動隊」などで国内外共に人気のクリエイター・士郎正宗がエロスに注力した淫麗画集第2弾!!エッチ系妄想が止まらない、アクティブなご令嬢シリルの妄想＆リアル(?)の痴態が今回も大展開!! 触手、軟体生物、ベランダ公開オナニー、強制身体検査などなど、過激だった前回を上回る汁まみれシーン満載♪シリル以外に、お姉様方も乱入で、精緻で淫らな美女たちの快宴を大堪能!!!!さら前巻に引き続き、カバーは豪華な両面イラスト仕様♪,3065,https://comic.gotbb.jp/comics/separatevolume/wtails-cat-2,https://comic.gotbb.jp/images/products/20160413_011724_ILXRB.jpg,"",https://exhentai.org/g/587845/e9d77bdf4c/
"9784860848811",B6,Holy Knight (ホーリーナイト) 02,宮崎摩耶,"20130215",明かされる、リリスと魔物達の過去。魔物と敵対する組織“教会”の登場。隠された能力を覚醒させはじめた水村心太を中心に、魔と人の運命が大きなうねりを生み出し始める!かつて人間達に非道な行いをつれたリリスが、なぜ人間の心太の子を宿そうとするのか? その謎の一端が、心太の出生の秘密につながる!!宮崎摩耶のエロティック・ファンタジー、待望の第2巻登場!!,630,https://comic.gotbb.jp/comics/separatevolume/holy-knight-02,https://comic.gotbb.jp/images/products/20160413_011559_P9rHX.jpg,"",""
